Feature,Definition,CURIE,OMOP,A4,ABVIB,ADNI,AIBL,ANM,ARWIBO,BRACE,C-Surv,DOD-ADNI,EDSD,EMIF,EPAD,I-ADNI,JADNI,NACC,NEURO Cohort,OASIS,PREVENT-AD,PharmaCog,ROSMAP,VASCULAR,VITA,WMH-AD,AMED
APOE,"Human APOE*4 allele is located in the vicinity of 19q13.2 and is approximately 4 kb in length. This allele, which encodes apolipoprotein E4, plays a role in triglyceride metabolism. The allele is associated with increased occurrence of both Alzheimer disease and coronary artery disease.",NCIT:C105362,40773017.0,APOEGN,,"APGEN1, APGEN2",Demographic.ApoE genotype,APOE,APOE,,APOE,"APGEN1, APGEN2",APOE,"APOE_Allele1, APOE_Allele2",apoe_result,APOE,APOE,NACCAPOE,apoe,APOE,APOE,APOE,apoe_genotype,,APOE,APOE,"APOE1, APOE2"
APOE Allele 1,"Human APOE*4 allele is located in the vicinity of 19q13.2 and is approximately 4 kb in length. This allele, which encodes apolipoprotein E4, plays a role in triglyceride metabolism. The allele is associated with increased occurrence of both Alzheimer disease and coronary artery disease.",NCIT:C105362,40773017.0,APOEGN,,APGEN1,"Demographic.E3 allele, Demographic.E2 allele, Demographic.E4 allele",APOE,APOE,,APOE,APGEN1,APOE,APOE_Allele1,apoe_result,APOE,APOE,NACCAPOE,apoe,APOE,APOE,APOE,apoe_genotype,,APOE,APOE,APOE1
APOE Allele 2,"Human APOE*4 allele is located in the vicinity of 19q13.2 and is approximately 4 kb in length. This allele, which encodes apolipoprotein E4, plays a role in triglyceride metabolism. The allele is associated with increased occurrence of both Alzheimer disease and coronary artery disease.",NCIT:C105362,40773017.0,APOEGN,,APGEN2,"Demographic.E4 allele, Demographic.E3 allele, Demographic.E2 allele",APOE,APOE,,APOE,APGEN2,APOE,APOE_Allele2,apoe_result,APOE,APOE,NACCAPOE,apoe,APOE,APOE,APOE,apoe_genotype,,APOE,APOE,APOE2
APOE e4,"Human APOE*4 allele is located in the vicinity of 19q13.2 and is approximately 4 kb in length. This allele, which encodes apolipoprotein E4, plays a role in triglyceride metabolism. The allele is associated with increased occurrence of both Alzheimer disease and coronary artery disease.",NCIT:C105362,36307729.0,,,APOE4,,,ApoE4,,APOE,,,APOEdich,,,,NACCNE4S,apoe,,,,,,,,"APOE1, APOE2"
Left Putamen Volume,,FMA:72829,,LeftPutamen,,ST53SV,,Left-Putamen,Left-Putamen,,,ST53SV,Left-Putamen,,llputv,Left-Putamen,(Left-Putamen)Volume_mm3,,,Left-Putamen,,Left-Putamen,,Left_Putamen,Left-Putamen,Left-Putamen,
Left Pallidum Volume,,-,,LeftPallidum,,ST42SV,,Left-Pallidum,Left-Pallidum,,,ST42SV,Left-Pallidum,,llpalv,Left-Pallidum,(Left-Pallidum)Volume_mm3,,,Left-Pallidum,,Left-Pallidum,,Left_Pallidum,Left-Pallidum,Left-Pallidum,
Left Amygdala Volume,,-,,LeftAmygdala,,ST12SV,,Left-Amygdala,Left-Amygdala,,,ST12SV,Left-Amygdala,,llamyg,Left-Amygdala,(Left-Amygdala)Volume_mm3,,,Left-Amygdala,,Left-Amygdala,,Left_Amygdala,Left-Amygdala,Left-Amygdala,
Left Accumbens Area Volume,,FMA:72837,,,,ST11SV,,Left-Accumbens-area,Left-Accumbens-area,,,ST11SV,Left-Accumbens-area,,llaccu,Left-Accumbens-area,(Left-Accumbens-area)Volume_mm3,,,Left-Accumbens-area,,Left-Accumbens-area,,Left_Accumbens_area,Left-Accumbens-area,Left-Accumbens-area,
Right Caudate Volume,,FMA:72826,,RightCaudate,,ST75SV,,Right-Caudate,Right-Caudate,,,ST75SV,Right-Caudate,,lrcv,Right-Caudate,(Right-Caudate)Volume_mm3,,,Right-Caudate,,Right-Caudate,,Right_Caudate,Right-Caudate,Right-Caudate,
Right Putamen Volume,,FMA:72828,,RightPutamen,,ST112SV,,Right-Putamen,Right-Putamen,,,ST112SV,Right-Putamen,,lrputv,Right-Putamen,(Right-Putamen)Volume_mm3,,,Right-Putamen,,Right-Putamen,,Right_Putamen,Right-Putamen,Right-Putamen,
