var_1,description_1,var_2,description_2,label
Right Gyrus Frontal Middle Area From Qdec,,BCSTROKE,10. Did subject have a stroke?,0
Right Gyrus Insular Short Thickness From Qdec,,LLATORBM,,0
Left Superiortemporal Area,,lh_G_and_S_paracentral_meancurv,Left_gyrus_and_sulcus_paracentral_meancurv_from_Qdec_lh.aparc.a2009s.meancurv_file,0
Glucose_metabolism in left hippocampus (Pons_Normalized),,Hipp_Hypo_Sx_Gluc_(Pons_Normalized),Glucose_metabolism_in_left_hippocampus_(Pons_Normalized),1
Left Gyrus And Sulcus Cingul-Mid-Ant Area From Qdec,,lh_lateralorbitofrontal_thickness,,0
Left Gyrus Subcallosal Meancurv From Qdec,,lh_G_subcallosal_meancurv,Left_gyrus_subcallosal_meancurv_from_Qdec_lh.aparc.a2009s.meancurv_file,1
Right Accumbens Area Volume,,lraccu,,1
Right Sulcus Oc Middle And Lunatus Volume From Qdec,,lh_(isthmuscingulate)MeanCurv,,0
PET-hypoperfusion: parietal left,,PETPARSX,PET-hypoperfusion:-parietal_left,1
Right Gyrus And Sulcus Transv Frontopol Meancurv From Qdec,,(S_front_middle)GrayVol,,0
Left Supramarginal Meancurv From Qdec,,lh_supramarginal_meancurv,,1
Left Gyrus Subcallosal Area From Qdec,,llsubcav,,1
Left Lateral Ventricle Volume,,rh_S_oc_sup_and_transversal_thickness,Right_sulcus_oc_sup_and_transversal_thickness_from_Qdec_rh.aparc.a2009s.thickness_file,0
Right Gyrus Pariet Inf-Supramar Thickness From Qdec,,lh_G_orbital_thickness,,0
Left Gyrus Precuneus Thickness From Qdec,,lh_G_precuneus_thickness,,1
Right Middle Temporal Gray Matter Volume,,wm-lh-supramarginal,White-matter-left-supramarginal-from_Qdec_wmparc.volume.stats_file,0
Left Banks Of The Superior Temoral Sulcus Cortical Thickness,,ST25CV,Cortical Volume (aparc.stats) of LeftFrontalPole,0
Left-UnsegmentedWhiteMatter-from Qdec Wmparc,Left-UnsegmentedWhiteMatter-from_Qdec_wmparc.volume.stats_file,Left-UnsegmentedWhiteMatter,,1
