var_1,description_1,var_2,description_2,label
Left Caudal Middle Frontal Area,,rh_G_and_S_cingul-Mid-Ant_meancurv,Right_gyrus_and_sulcus_cingul-Mid-Ant_meancurv_from_Qdec_rh.aparc.a2009s.meancurv_file,0
Left Frontal Pole Area,,EDUC,"Subject's years of education, use the codes below to report the level achieved; if an attempted level is not completed, enter the number of years completed: 12 = high school or GED, 16 = bachelor's degree, 18 = master's degree, 20 = doctorate, 99 = unknown",0
Right Gyrus And Sulcus Paracentral Thickness From Qdec,,(G_and_S_paracentral)ThickAvg,,1
Left Sulcus Oc-temp Lat Thickness From Qdec,,(S_oc-temp_lat)ThickAvg,,1
Clinical Dementia Rating Scale Sum of Boxes (CDRSB),Clinical Dementia Rating (CDR) Sum of Boxes.,left_molecular_layer_HP,Left_molecular_layer_HP-FreeSurfer(v6Beta),0
Right Inferiorparietal Mean Cortical Thickness,,ST90TA,Thickness Average (aparc.stats) of RightInferiorParietal,1
Left Accumbens Area Volume,,Left_Accumbens_area,,1
Right Pars Orbitalis Gray Matter Volume,,EstimatedTotalIntraCranialVol,,0
Right Gyrus Frontal Middle Area From Qdec,,(G_postcentral)ThickAvg,,0
Right Gyrus And Sulcus Cingul-Mid-Ant Thickness From Qdec,,ST84SA,Surface Area (aparc.stats) of RightFrontalPole,0
Left Gyrus Temp Sup-G T Transv Area From Qdec,,(Left-choroid-plexus)Volume_mm3,,0
White-matter-left-rostralmiddlefrontal-from Qdec Wmparc,,wm-lh-rostralmiddlefrontal,White-matter-left-rostralmiddlefrontal-from_Qdec_wmparc.volume.stats_file,1
Left Lingual Grey Gray Matter Volume,,LLING,,1
Left Lateral Ventricle Volume,,gds_total,,0
Right Subiculum Volume,Right_subiculum,rh_G_and_S_cingul-Mid-Post_volume,Right_gyrus_and_sulcus_cingul-Mid-Post_volume_from_Qdec_rh.aparc.a2009s.volume_file-FreeSurfer(v5.3),0
Right Paracentral Grey Matter Volume,,rh_(paracentral)GrayVol,,1
Right Gyrus Parietal Sup Area From Qdec,,rh_G_parietal_sup_area,Right_gyrus_parietal_sup_area_from_Qdec_rh.aparc.a2009s.area.stats_file-FreeSurfer(v5.3),1
Left Middletemporal Area,,lh_middletemporal_area,,1
PET-hypoperfusion: vermis or pons,,lrpalv,,0
Cancer,"A tumor composed of atypical neoplastic, often pleomorphic cells that invade other tissues. Malignant neoplasms often metastasize to distant anatomic sites and may recur after excision. The most common malignant neoplasms are carcinomas (adenocarcinomas or squamous cell carcinomas), Hodgkin and non-Hodgkin lymphomas, leukemias, melanomas, and sarcomas.",tiroid,Past_pathological_anamnesis:_ask_to_the_patient_if_any_medician_has_ever_told_him_that_suffer_for_thyroid_disease,0
Right Gyrus Frontal Inf-Orbital Volume From Qdec,,rh_G_front_inf-Orbital_volume,Right_gyrus_frontal_inf-Orbital_volume_from_Qdec_rh.aparc.a2009s.volume_file,1
Left Sulcus Precentral-inf-part Meancurv From Qdec,,lh_S_precentral-inf-part_meancurv,,1
Right Paracentral Area,,ST102TA,Thickness Average (aparc.stats) of RightParacentral,1
Left Banks Of The Superior Temoral Sulcus Cortical Area,,ST13SA,Surface Area (aparc.stats) of LeftBankssts,1
White Matter HypoIntensities Volume,,WM-hypointensities,White-matter-hypointensities_from_Qdec_aseg.volume.stats_file-FreeSurfer(v5.3),1
Left Gyrus And Sulcus Frontomargin Volume From Qdec,,lh_G_and_S_frontomargin_volume,Left_gyrus_and_sulcus_frontomargin_volume_from_Qdec_lh.aparc.a2009s.volume_file,1
Right Pole Temporal Area From Qdec,,rh_Pole_temporal_area,Right_Pole_temporal_area_from_Qdec_rh.aparc.a2009s.area.stats_file-FreeSurfer(v5.3),1
Schizophrenia,"A major psychotic disorder characterized by abnormalities in the perception or expression of reality. It affects the cognitive and psychomotor functions. Common clinical signs and symptoms include delusions, hallucinations, disorganized thinking, and retreat from reality.",EXPSYCH,"4. NL - Has the participant had major depression or bipolar disorder as described in DSM-IV within the past year or a history of schizophrenia (DSM IV criteria)?<br>MCI/AD - Does the participant have a history of major depression...or a history of psychotic features, agitation, or behavioral problems within the last 3 months which could lead to difficulty complying with the protocol?",1
Left Inferior Lateral Ventricle Volume,,rh_pericalcarine_meancurv,Right_pericalcarine_meancurv_from_Qdec_rh.aparc.meancurv_file,0
Left Middle Temporal Gray Matter Volume,,lh_G_precentral_meancurv,,0
Year of Birth,The year in which a person was born.,YOB,year_of_born,1
Left Lateraloccipital Area,,(G_and_S_cingul-Mid-Post)SurfArea,,0
Right Superior Parietal Area,,(G_and_S_cingul-Mid-Post)MeanCurv,,0
Right Sulcus Calcarine Meancurv From Qdec,,lh_precentral_area,Left_precentral_area_from_Qdec_lh.aparc.area_file,0
Optic Chiasm Volume,,Optic-Chiasm,,1
Month of Birth,The month in which a person was born.,Demographic.YearMonthOfBirth,Participant year and month of birth (YYYYMM).,1
Left Gyrus And Sulcus Cingul-Mid-Post Area From Qdec,,lh_G_and_S_cingul-Mid-Post_area,Left_gyrus_and_sulcus_cingul-Mid-Post_area_from_Qdec_lh.aparc.a2009s.area.stats_file,1
Right Pallidum Volume,,(Right-Pallidum)Volume_mm3,,1
Ethnicity,A social group characterized by a distinctive social and cultural tradition that is maintained from generation to generation. Members share a common history and origin and a sense of identification with the group. They have similar and distinctive features in their lifestyle habits and shared experiences. They often have a common genetic heritage which may be reflected in their experience of health and disease.,lh_lateralorbitofrontal_volume,Left_lateralorbitofrontal_volume_from_Qdec_lh.aparc.volume.stats_file,0
Mini-Mental State Examination (MMSE),Mini-Mental State Examination (MMSE) Total score.,race7,,0
Left Sulcus Intrapariet And P Trans Area From Qdec,,(S_intrapariet_and_P_trans)SurfArea,,1
Right Sulcus Temporal Inferior Thickness From Qdec,,PTDOB,2. Participant Date of Birth,0
Right Gyrus Temp Sup-G T Transv Volume From Qdec,,ST98TA,Thickness Average (aparc.stats) of RightMedialOrbitofrontal,0
Left Middletemporal Meancurv From Qdec,,No total score.,,0
Left Cortical White Matter Volume,,(G_oc-temp_med-Parahip)SurfArea,,0
Right Pole Temporal Area From Qdec,,wm-lh-precentral,,0
Left Temporal Pole Area,,(G_temp_sup-Plan_tempo)ThickAvg,,0
Clinical Dementia Rating (CDR),"A standardized rating scale developed by John C. Morris in 1997 to evaluate the severity of an individual's cognitive impairment. This instrument contains 6 areas which include memory, orientation, judgment and problem solving, community affairs, home and hobbies, and personal care. Each item is rated on a scale from 0 to 3 with 0 being none and 3 being severe.",lh_G_oc-temp_med-Parahip_meancurv,Left_gyrus_oc-temp_med-Parahip_meancurv_from_Qdec_lh.aparc.a2009s.meancurv_file-FreeSurfer(v5.3),0
Alcohol Abuse,"The use of alcoholic beverages to excess, either on individual occasions (\binge drinking\) or as a regular practice.",ALCOHOL,,1
Right Lat Fis-post Volume From Qdec,,rh_Lat_Fis-post_volume,Right_Lat_Fis-post_volume_from_Qdec_rh.aparc.a2009s.volume_file-FreeSurfer(v5.3),1
Right Gyrus Pariet Inf-Supramar Volume From Qdec,,rh_G_pariet_inf-Supramar_volume,Right_gyrus_pariet_inf-Supramar_volume_from_Qdec_rh.aparc.a2009s.volume_file,1
Right Gyrus And Sulcus Paracentral Thickness From Qdec,,Right-WM-hypointensities,Right-White-matter-hypointensities_from_Qdec_aseg.volume.stats_file-FreeSurfer(v5.3),0
Repeatable Battery for the Assessment of Neuropsychological Status (RBANS),-,rbans_total_scale,,1
Right Sulcus Precentral-sup-part Meancurv From Qdec,,lh_lateraloccipital_volume,Left_lateraloccipital_volume_from_Qdec_lh.aparc.volume.stats_file,0
Left Inferiorparietal Mean Cortical Thickness,,rh_lateraloccipital_volume,Right_lateraloccipital_volume_from_Qdec_rh.aparc.volume.stats_file,0
FDG PET,Fluorodeoxyglucose Positron Emission Tomography,lh_G_temporal_middle_area,Left_gyrus_temporal_middle_area_from_Qdec_lh.aparc.a2009s.area.stats_file-FreeSurfer(v5.3),0
Right Sulcus Frontal Inferior Area From Qdec,,rh_S_front_inf_area,Right_sulcus_frontal_inferior_area_from_Qdec_rh.aparc.a2009s.area.stats_file-FreeSurfer(v5.3),1
