,Phase,FLDNAME,TBLNAME,CRFNAME,TEXT,TYPE,LENGTH,CODE,UNITS,target,OMOP
0,J-ADNI,ANARTERR,NEUROBAT,Neuropsychological Battery,ANART Total Score (Total # of errors),N,2,0..50,,american national reading test (anart),46236235.0
1,J-ADNI,ANARTND,NEUROBAT,Neuropsychological Battery,Check here if:,T,20,1=ANART Not Done - Spanish speaking,,No suitable variable found.,
2,J-ADNI,ARM,ARM,,Diagnosis/Scan Category Assignment,N,1,1=NL - 1.5T only;2=MCI - 1.5T only;3=AD - 1.5T only;4=NL - PET+1.5T;5=MCI - PET+1.5T;6=AD - PET+1.5T;7=NL - 3T+1.5T;8=MCI - 3T+1.5T;9=AD - 3T+1.5T;10=NL-FDGPET+1.5T+3T;11=MCI-FDGPET+1.5T+3T;12=AD-FDGPET+1.5T+3T;13=NL-FDGPET+Amyloid PET+1.5T;14=MCI-FDGPET+Amyloid PET+1.5T;15=AD-FDGPET+Amyloid PET+1.5T;16=NL-FDGPET+Amyloid PET+1.5T+3T;17=MCI-FDGPET+Amyloid PET+1.5T+3T;18=AD-(FDGPET+)Amyloid PET+1.5T+3T,,No suitable variable found.,
3,J-ADNI,AVDEL30MIN,NEUROBAT,Neuropsychological Battery,30 Minute Delay Total,N,2,0..15,,No suitable variable found.,
4,J-ADNI,AVDELERR1,NEUROBAT,Neuropsychological Battery,Total Intrusions,N,2,,,No suitable variable found.,
5,J-ADNI,AVDELERR2,NEUROBAT,Neuropsychological Battery,Recognition Errors,N,2,,,No suitable variable found.,
6,J-ADNI,AVDELTOT,NEUROBAT,Neuropsychological Battery,Recognition Score,N,2,0..15,,No suitable variable found.,
7,J-ADNI,AVERR1,NEUROBAT,Neuropsychological Battery,Total Intrusions,N,2,,,No suitable variable found.,
8,J-ADNI,AVERR2,NEUROBAT,Neuropsychological Battery,Total Intrusions,N,2,,,No suitable variable found.,
9,J-ADNI,AVERR3,NEUROBAT,Neuropsychological Battery,Total Intrusions,N,2,,,No suitable variable found.,
10,J-ADNI,AVERR4,NEUROBAT,Neuropsychological Battery,Total Intrusions,N,2,,,No suitable variable found.,
11,J-ADNI,AVERR5,NEUROBAT,Neuropsychological Battery,Total Intrusions,N,2,,,No suitable variable found.,
12,J-ADNI,AVERR6,NEUROBAT,Neuropsychological Battery,Total Intrusions,N,2,,,No suitable variable found.,
13,J-ADNI,AVERRB,NEUROBAT,Neuropsychological Battery,Total Intrusions,N,2,,,No suitable variable found.,
14,J-ADNI,AVTOT1,NEUROBAT,Neuropsychological Battery,Trial 1 Total,N,2,0..15,,No suitable variable found.,
15,J-ADNI,AVTOT2,NEUROBAT,Neuropsychological Battery,Trial 2 Total,N,2,0..15,,No suitable variable found.,
16,J-ADNI,AVTOT3,NEUROBAT,Neuropsychological Battery,Trial 3 Total,N,2,0..15,,No suitable variable found.,
17,J-ADNI,AVTOT4,NEUROBAT,Neuropsychological Battery,Trial 4 Total,N,2,0..15,,No suitable variable found.,
18,J-ADNI,AVTOT5,NEUROBAT,Neuropsychological Battery,Trial 5 Total,N,2,0..15,,No suitable variable found.,
19,J-ADNI,AVTOT6,NEUROBAT,Neuropsychological Battery,Trial 6 Total,N,2,0..15,,No suitable variable found.,
20,J-ADNI,AVTOTB,NEUROBAT,Neuropsychological Battery,List B Total,N,2,0..15,,No suitable variable found.,
21,J-ADNI,AXABDOMN,ADSXLIST,Diagnosis and Symptoms Checklist,5. Abdominal discomfort,N,1,1=Absent; 2=Present,,No suitable variable found.,
22,J-ADNI,AXANKLE,ADSXLIST,Diagnosis and Symptoms Checklist,19. Ankle swelling,N,1,1=Absent; 2=Present,,No suitable variable found.,
23,J-ADNI,AXBREATH,ADSXLIST,Diagnosis and Symptoms Checklist,13. Shortness of breath,N,1,1=Absent; 2=Present,,No suitable variable found.,
24,J-ADNI,AXCHEST,ADSXLIST,Diagnosis and Symptoms Checklist,16. Chest pain,N,1,1=Absent; 2=Present,,chest pain,77670.0
25,J-ADNI,AXCONSTP,ADSXLIST,Diagnosis and Symptoms Checklist,4. Constipation,N,1,1=Absent; 2=Present,,No suitable variable found.,
26,J-ADNI,AXCOUGH,ADSXLIST,Diagnosis and Symptoms Checklist,14. Coughing,N,1,1=Absent; 2=Present,,No suitable variable found.,
27,J-ADNI,AXCRYING,ADSXLIST,Diagnosis and Symptoms Checklist,24. Crying,N,1,1=Absent; 2=Present,,No suitable variable found.,
28,J-ADNI,AXDIARRH,ADSXLIST,Diagnosis and Symptoms Checklist,3. Diarrhea,N,1,1=Absent; 2=Present,,No suitable variable found.,
29,J-ADNI,AXDIZZY,ADSXLIST,Diagnosis and Symptoms Checklist,7. Dizziness,N,1,1=Absent; 2=Present,,No suitable variable found.,
30,J-ADNI,AXDPMOOD,ADSXLIST,Diagnosis and Symptoms Checklist,23. Depressed mood,N,1,1=Absent; 2=Present,,depression,45878997.0
31,J-ADNI,AXDROWSY,ADSXLIST,Diagnosis and Symptoms Checklist,9. Drowsiness,N,1,1=Absent; 2=Present,,No suitable variable found.,
32,J-ADNI,AXDRYMTH,ADSXLIST,Diagnosis and Symptoms Checklist,12. Dry mouth,N,1,1=Absent; 2=Present,,No suitable variable found.,
33,J-ADNI,AXELMOOD,ADSXLIST,Diagnosis and Symptoms Checklist,25. Elevated mood,N,1,1=Absent; 2=Present,,depression,45878997.0
34,J-ADNI,AXENERGY,ADSXLIST,Diagnosis and Symptoms Checklist,8. Low energy,N,1,1=Absent; 2=Present,,No suitable variable found.,
35,J-ADNI,AXFALL,ADSXLIST,Diagnosis and Symptoms Checklist,27. Fall,N,1,1=Absent; 2=Present,,No suitable variable found.,
36,J-ADNI,AXHDACHE,ADSXLIST,Diagnosis and Symptoms Checklist,11. Headache,N,1,1=Absent; 2=Present,,No suitable variable found.,
37,J-ADNI,AXINSOMN,ADSXLIST,Diagnosis and Symptoms Checklist,22. Insomnia,N,1,1=Absent; 2=Present,,No suitable variable found.,
38,J-ADNI,AXMUSCLE,ADSXLIST,Diagnosis and Symptoms Checklist,20. Muscloskeletal pain,N,1,1=Absent; 2=Present,,No suitable variable found.,
39,J-ADNI,AXNAUSEA,ADSXLIST,Diagnosis and Symptoms Checklist,1. Nausea,N,1,1=Absent; 2=Present,,No suitable variable found.,
40,J-ADNI,AXOTHER,ADSXLIST,Diagnosis and Symptoms Checklist,28. Other/Diagnosis,N,1,1=Absent; 2=Present,,No suitable variable found.,
41,J-ADNI,AXPALPIT,ADSXLIST,Diagnosis and Symptoms Checklist,15. Palpitations,N,1,1=Absent; 2=Present,,No suitable variable found.,
42,J-ADNI,AXRASH,ADSXLIST,Diagnosis and Symptoms Checklist,21. Rash,N,1,1=Absent; 2=Present,,No suitable variable found.,
43,J-ADNI,AXSPECIF,ADSXLIST,Diagnosis and Symptoms Checklist,"If Other symptoms/diagnosis, specify:",T,1000,,,diagnosis,4234469.0
